1,Jozef,Novak,35,M,421911223344
2,Maria,Kovacova,29,F,421944556677
3,Peter,Hrasko,40,M,421955667788
207,Lukas,Kerpner,73,M,421926075086
208,Zdenek,Simuth,79,M,421952666630
209,Jozef,Amate,44,M,421979385766
210,Michal,Gajanec,48,M,421971751222
211,Martin,Koza,26,M,421979534147
212,Michal,Dedak,36,M,421947589772
213,Marek,Kurcina,84,M,421976845966
214,Radoslav,Chovan,52,M,421982654776
215,Vladimir,Golis,59,M,421953603442
216,Vladimir,Brida,30,M,421959275382
217,Milan,Dadaj,8,M,421964545726
218,Marek,Vician,89,M,421964099730
219,Peter,Vdovjak,42,M,421916235773
220,Marian,Chovanec,54,M,421984515824
221,Jana,Zaborska,49,F,421957336345
222,Antonim,Paliga,23,M,421967961345
223,Peter,Chovanec,68,M,421921667992
224,Ivan,Bombara,85,M,421978313846
225,Vojtech,Janus,38,M,421935656963
226,Vladimir,Bris,53,M,421925059164
227,Frantisek,Bellus,22,M,421910402384
228,Roman,Priesol,58,M,421919692236
229,Jan,Fodor,65,M,421943669138
230,Alexander,Nekoranec,59,M,421994331804
231,Lubos,Boda,77,M,421979199744
232,Radoslav,Spidlik,44,M,421983703067
233,Tomas,Kristofik,47,M,421963846878
234,Sarka,Jackovicova,40,F,421918687228
235,Michal,Olach,55,M,421980846705
236,Andrej,Skovranko,54,M,421996509129
237,Lubomir,Hlosta,31,M,421943638627
238,Martin,Vince,74,M,421947540221
239,Peter,Priesol,63,M,421921412405
240,Peter,Gebrlin,35,M,421998351962
241,Tomas,Sedlacek,56,M,421985768205
242,Eva,Sebenova,9,F,421958103299
243,Jan,Vesely,80,M,421934463889
244,Marian,Balla,27,M,421979516547
245,Jan,Piecka,75,M,421980047862
246,Peter,Teslar,71,M,421957037617
247,Hubert,Vasko,30,M,421992739854
248,Marian,Brunclik,70,M,421941618801
249,Lubos,Gano,55,M,421940427158
250,Jaroslava,Nevedalova,24,F,421936908097
251,Peter,Kukura,45,M,421988091841
252,Peter,Tulinsky,52,M,421972306467
253,Pavel,Porubcan,40,M,421974182782
254,Jozef,Cepcani,77,M,421944859039
255,Karol,Kulich,76,M,421971627666
256,Maria,Hazuchova,58,F,421994469103
257,Viera,Jasikova,48,F,421973753515
258,Lubomir,Pagac,80,M,421936827505
259,Radomir,Bieloncik,16,M,421971315407
260,Martin,Svrcek,66,M,421972945977
261,Marek,Martinkovic,48,M,421991220908
262,Juraj,Feran,60,M,421945203769
263,Jozef,Dacho,33,M,421927727837
264,Maria,Rackova,87,F,421938114085
265,Peter,Slotka,85,M,421928906059
266,Peter,Samaj,78,M,421938557330
267,Juraj,Broncek,86,M,421997181474
268,Peter,Bigda,26,M,421927251802
269,Josef,Bartos,37,M,421977901058
270,Ondrej,Mlatko,32,M,421918177590
271,Peter,Stubna,61,M,421963474351
272,Marcel,Znamenacek,60,M,421981199044
